client_id,client_segment
1,High Net Worth
2,Retirement Planning
3,Young Professional
4,Conservative Investor
5,High Net Worth
6,Ultra High Net Worth
7,Retirement Planning
8,Growth Investor
9,Young Professional
10,Conservative Investor
11,Institutional
12,High Net Worth
13,Young Professional
14,Growth Investor
15,Retirement Planning
16,Conservative Investor
17,Ultra High Net Worth
18,High Net Worth
19,Institutional
20,Young Professional
21,Growth Investor
22,Retirement Planning
23,Conservative Investor
24,High Net Worth
25,Young Professional
26,Ultra High Net Worth
27,Growth Investor
28,Retirement Planning
29,Conservative Investor
30,Institutional
31,High Net Worth
32,Young Professional
33,Growth Investor
34,Retirement Planning
35,Conservative Investor
36,High Net Worth
37,Ultra High Net Worth
38,Young Professional
39,Growth Investor
40,Institutional
41,Retirement Planning
42,Conservative Investor
43,High Net Worth
44,Young Professional
45,Growth Investor
46,Retirement Planning
47,Conservative Investor
48,Ultra High Net Worth
49,High Net Worth
50,Institutional 
