date,portfolio_value,management_fees,target_portfolio_value,client_id,advisor_id
2024-01-01,1250000.00,312.50,1200000.00,1,1
2024-01-01,850000.00,212.50,800000.00,2,2
2024-01-01,425000.00,106.25,450000.00,3,12
2024-01-01,950000.00,237.50,900000.00,4,6
2024-01-01,3200000.00,800.00,3100000.00,5,8
2024-01-01,5800000.00,1450.00,5500000.00,6,8
2024-01-01,750000.00,187.50,720000.00,7,2
2024-01-01,1150000.00,287.50,1100000.00,8,4
2024-01-01,325000.00,81.25,340000.00,9,12
2024-01-01,675000.00,168.75,650000.00,10,6
2024-01-01,12500000.00,3125.00,12000000.00,11,11
2024-01-01,1850000.00,462.50,1800000.00,12,1
2024-01-01,295000.00,73.75,310000.00,13,12
2024-01-01,1425000.00,356.25,1350000.00,14,4
2024-01-01,825000.00,206.25,800000.00,15,10
2024-01-01,485000.00,121.25,500000.00,16,6
2024-01-01,6750000.00,1687.50,6500000.00,17,8
2024-01-01,2150000.00,537.50,2100000.00,18,3
2024-01-01,8950000.00,2237.50,8800000.00,19,11
2024-01-01,385000.00,96.25,400000.00,20,12
2024-01-01,1625000.00,406.25,1550000.00,21,4
2024-01-01,925000.00,231.25,900000.00,22,10
2024-01-01,565000.00,141.25,580000.00,23,6
2024-01-01,2850000.00,712.50,2750000.00,24,1
2024-01-01,415000.00,103.75,430000.00,25,12
2024-01-01,7250000.00,1812.50,7000000.00,26,8
2024-01-01,1750000.00,437.50,1700000.00,27,4
2024-01-01,1125000.00,281.25,1100000.00,28,10
2024-01-01,625000.00,156.25,640000.00,29,6
2024-01-01,15750000.00,3937.50,15200000.00,30,11
2024-01-01,3150000.00,787.50,3050000.00,31,1
2024-01-01,465000.00,116.25,480000.00,32,12
2024-01-01,1875000.00,468.75,1800000.00,33,4
2024-01-01,975000.00,243.75,950000.00,34,10
2024-01-01,535000.00,133.75,550000.00,35,6
2024-01-01,4250000.00,1062.50,4100000.00,36,3
2024-01-01,8750000.00,2187.50,8500000.00,37,8
2024-01-01,525000.00,131.25,540000.00,38,12
2024-01-01,2250000.00,562.50,2150000.00,39,4
2024-01-01,18500000.00,4625.00,18000000.00,40,11
2024-01-01,1375000.00,343.75,1350000.00,41,10
2024-01-01,685000.00,171.25,700000.00,42,6
2024-01-01,3850000.00,962.50,3750000.00,43,1
2024-01-01,595000.00,148.75,610000.00,44,12
2024-01-01,2650000.00,662.50,2550000.00,45,4
2024-01-01,1285000.00,321.25,1250000.00,46,10
2024-01-01,785000.00,196.25,800000.00,47,6
2024-01-01,9850000.00,2462.50,9500000.00,48,8
2024-01-01,4650000.00,1162.50,4500000.00,49,3
2024-01-01,22500000.00,5625.00,22000000.00,50,11
2024-01-02,1255000.00,313.75,1200000.00,1,1
2024-01-02,852125.00,213.03,800000.00,2,2
2024-01-02,426595.00,106.65,450000.00,3,12
2024-01-02,952375.00,238.09,900000.00,4,6
2024-01-02,3216000.00,804.00,3100000.00,5,8
2024-01-02,5829000.00,1457.25,5500000.00,6,8
2024-01-02,751875.00,187.97,720000.00,7,2
2024-01-02,1153450.00,288.36,1100000.00,8,4
2024-01-02,326625.00,81.66,340000.00,9,12
2024-01-02,677025.00,169.26,650000.00,10,6
2024-01-02,12562500.00,3140.63,12000000.00,11,11
2024-01-02,1854625.00,463.66,1800000.00,12,1
2024-01-02,296475.00,74.12,310000.00,13,12
2024-01-02,1428550.00,357.14,1350000.00,14,4
2024-01-02,827062.00,206.77,800000.00,15,10
2024-01-02,486213.00,121.55,500000.00,16,6
2024-01-02,6783750.00,1695.94,6500000.00,17,8
2024-01-02,2156075.00,539.02,2100000.00,18,3
2024-01-02,8994475.00,2248.62,8800000.00,19,11
2024-01-02,386926.00,96.73,400000.00,20,12
2024-01-02,1630625.00,407.66,1550000.00,21,4
2024-01-02,927312.00,231.83,900000.00,22,10
2024-01-02,566695.00,141.67,580000.00,23,6
2024-01-02,2857125.00,714.28,2750000.00,24,1
2024-01-02,416615.00,104.15,430000.00,25,12
2024-01-02,7289250.00,1822.31,7000000.00,26,8
2024-01-02,1756750.00,439.19,1700000.00,27,4
2024-01-02,1128375.00,282.09,1100000.00,28,10
2024-01-02,626562.00,156.64,640000.00,29,6
2024-01-02,15826875.00,3956.72,15200000.00,30,11
2024-01-02,3161475.00,790.37,3050000.00,31,1
2024-01-02,466395.00,116.60,480000.00,32,12
2024-01-02,1881562.00,470.39,1800000.00,33,4
2024-01-02,977437.00,244.36,950000.00,34,10
